test_collection,file_path,should_fail,known_status,known_failure,known_failure_description
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsModelAttributeChanges/2.execution-should-succeed.omex,,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithNestedRepeatedTasks/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithLogarithmicUniformRanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithLinearUniformRanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsUniformTimeCoursesWithNonZeroInitialTimes/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsMultipleTasksPerSedDocument/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsAlgorithmParameters/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsUniformTimeCoursesWithNonZeroOutputStartTimes/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithFunctionalRangeVariables/1.execute-should-fail.omex,TRUE,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithFunctionalRangeVariables/2.execution-should-succeed.omex,,SKIP,SEDML_SBML_LEVEL_CHANGE,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesLinear2DPlots/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorProducesLinear2DPlots/2.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithNestedFunctionalRanges/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithSubTasksOfMixedTypes/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsRepeatedTasksWithSubTasksOfMixedTypes/2.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorCanResolveModelSourcesDefinedByUriFragments/1.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsSubstitutingAlgorithms/3.execute-should-fail.omex,TRUE,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsSubstitutingAlgorithms/4.execution-should-succeed.omex,,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsSubstitutingAlgorithms/1.execute-should-fail.omex,TRUE,,,
VCELL_BSTS_SYNTHS,sedml/SimulatorSupportsSubstitutingAlgorithms/2.execution-should-succeed.omex.omex,,,,
SYSBIO_BIOMD,BIOMD0000000001.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000002.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000003.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000004.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000005.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000006.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000007.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000008.omex,,PASS,,
